frame_index,time_ps,elapsed_ps,volume_nm3,density_g_ml,void_radius_angstrom,void_x_angstrom,void_y_angstrom,void_z_angstrom,eda_thf_contacts,eda_thf_hydrogen_bonds,eda_eda_hydrogen_bonds,cavity_associated_hydrogen_bonds,cavity_bridging_hydrogen_bonds
0,0.0,0.0,8.038998287483503,0.8738862016916231,1.9686184011366696,9.34847475687663,17.361453119913737,9.348474756876628,10,4,31,0,0
10,100.0,100.0,8.127147824128128,0.8644077640618126,1.7059965002106863,7.036890029907226,5.026350021362305,2.3456300099690752,15,12,24,1,0
20,200.0,200.0,8.649777247291375,0.8121792594201556,2.0100162654712213,7.184607028961182,6.8424828847249355,19.843200365702312,14,8,23,0,0
30,300.0,300.0,8.031652523937767,0.8746854595509957,1.6335447254502864,19.35879764556885,3.0039513587951667,17.022391033172607,17,9,34,4,0
40,400.0,400.0,8.320476125397782,0.8443230378860758,2.1362845820475487,14.18450222015381,17.561764653523763,1.0131787300109865,19,16,24,0,0
50,500.0,500.0,7.985534240556304,0.8797369677754984,1.746922781955243,7.6620428721110025,17.322879536946616,4.663852183024089,12,9,36,0,0
60,600.0,600.0,8.05496779242719,0.872153664656372,1.9384992437581008,7.015995693206787,13.363801320393883,1.002285099029541,11,5,30,0,0
70,700.0,700.0,8.088902280814976,0.8684948136308328,2.045756392423897,6.69127082824707,3.0110718727111814,0.6691270828247071,15,12,30,1,0
80,800.0,800.0,8.637197233197705,0.8133621925238272,2.447600332117572,14.362244606018065,2.0517492294311532,11.96853717168172,15,7,33,0,0
90,900.0,900.0,8.43945576694626,0.8324197522746677,1.998257844794787,7.1258967399597175,5.08992624282837,11.197837734222412,16,11,19,2,0
100,1000.0,1000.0,8.100588802829083,0.867241857332756,1.9188787546126471,3.012521266937257,4.68614419301351,12.719534238179524,7,2,28,0,0
110,1100.0,1100.0,7.765776690271502,0.9046319459140681,1.9492070663937888,15.842301940917972,12.871870326995852,17.492541726430254,22,14,34,2,0
120,1200.0,1200.0,8.574132515768317,0.8193446585919607,2.2252600297821,6.481354077657064,3.41123898824056,7.845849672953287,9,2,30,1,0
130,1300.0,1300.0,8.173103396597773,0.8595473883003605,1.6407144913020615,5.035806179046632,7.385849062601725,1.3428816477457681,17,8,23,0,0
140,1400.0,1400.0,7.966451728951743,0.8818442536121185,2.0001023224080985,10.98460216522217,2.330067125956218,17.97480354309082,18,10,30,0,0
150,1500.0,1500.0,8.25821644626078,0.8506884900111007,1.9953785058561155,12.127743530273436,1.0106452941894541,13.47527058919271,18,8,18,0,0
160,1600.0,1600.0,7.796757005505935,0.9010374023319399,1.9124188502056174,12.558478101094563,9.91458797454834,12.888964366912843,20,11,31,1,0
170,1700.0,1700.0,7.946561082183775,0.8840515546536076,1.8474131034165995,7.316968282063802,4.988842010498047,2.993305206298828,17,9,28,0,0
180,1800.0,1800.0,8.232377933294142,0.8533584993034128,2.0148341382261625,1.0095901489257828,6.730600992838542,18.50915273030599,9,4,30,1,0
190,1900.0,1900.0,8.513439017033608,0.8251858813810174,2.3478435894142997,15.65458615620931,2.7225367228190107,7.486975987752278,10,7,33,2,0
200,2000.0,2000.0,7.699677392228221,0.9123979253917023,1.8869536793452937,1.3164354960123712,12.835246086120605,6.911286354064941,18,8,30,5,0
210,2100.0,2100.0,7.962962425896259,0.8822306703354454,1.4838992936559057,14.976815700531006,12.979906940460205,12.647088813781737,11,6,38,2,0
220,2200.0,2200.0,7.772077084999629,0.9038986106318007,1.6245276996547806,10.564390055338542,7.263018163045247,4.952057838439941,8,6,32,0,0
230,2300.0,2300.0,8.293867767260291,0.8470317921616732,2.2788262587920176,0.3373658498128269,19.904585138956705,2.698926798502604,14,9,36,2,0
240,2400.0,2400.0,8.290853065071445,0.8473397880431357,2.162033586309059,13.83032372792562,18.21554832458496,5.059874534606934,9,6,24,0,0
250,2500.0,2500.0,8.183627611554655,0.8584420030226472,1.9845725708219324,5.03796672821045,15.449764633178711,6.717288970947266,12,2,24,0,0
