pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.17179085010161566
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,1.2025359507113098
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,3.264026151930698
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,6.35626145375978
thf_o-thf_o,0.4,0.5,0.45,0.0,0,10.479241856198557
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,15.632967359247044
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,21.81743796290519
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,29.032653667173054
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,37.2786144720506
thf_o-thf_o,0.9,1.0,0.95,0.0,0,46.55532037753782
thf_o-thf_o,1.0,1.1,1.05,0.0,0,56.862771383634865
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,68.20096749034151
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,80.56990869765757
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,93.96959500558388
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,108.40002641411941
thf_o-thf_o,1.5,1.6,1.55,0.0,0,123.86120292326513
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,140.35312453301998
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,157.87579124338484
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,176.42920305435956
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,196.01335996594307
thf_o-thf_o,2.0,2.1,2.05,0.0,0,216.6282619781376
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,238.2739090909412
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,260.9503013043542
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,284.65743861837785
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,309.39532103300854
thf_o-thf_o,2.5,2.6,2.55,0.0,0,335.1639485482523
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,361.96332116410457
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0025654613450443488,1,389.7934388805664
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0,0,418.6543016976381
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.0044588523875186935,2,448.54590961531693
thf_o-thf_o,3.0,3.1,3.05,0.018770794026209472,9,479.46826263361
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.015642678648050065,8,511.4213607525101
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.04408481003652096,24,544.4052039720211
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.07606931952594241,44,578.4197922921395
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.10432540876000036,64,613.4651257128684
thf_o-thf_o,3.5,3.6,3.55,0.15549436947433698,101,649.5412042342099
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.21117078054198563,145,686.6480278561581
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.31181635102409827,226,724.785596578718
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.363896298212225,278,763.9539104018857
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.45016310802603027,362,804.1529693256598
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.5358519410146801,453,845.3827733500543
thf_o-thf_o,4.1000000000000005,4.2,4.15,0.6962255946192548,618,887.6433224750463
thf_o-thf_o,4.2,4.3,4.25,0.8604256256350665,801,930.9346167006528
thf_o-thf_o,4.3,4.4,4.35,1.0797157789107965,1053,975.2566560268785
thf_o-thf_o,4.4,4.5,4.45,1.2884458519367015,1315,1020.6094404536941
thf_o-thf_o,4.5,4.6000000000000005,4.550000000000001,1.4479945449193634,1545,1066.9929699811394
