frame_index,time_ps,elapsed_ps,volume_nm3,density_g_ml,void_radius_angstrom,void_x_angstrom,void_y_angstrom,void_z_angstrom,eda_thf_contacts,eda_thf_hydrogen_bonds
0,0.0,0.0,9.245625733523806,0.9259581021183946,1.7515145107093364,2.0988372802734387,11.193798828125,10.494186401367188,8,6
10,100.0,100.0,9.68986824242456,0.8835065496172916,2.031284687774722,12.79157066345215,7.461749553680419,4.619178295135498,7,3
20,200.0,200.0,9.756748658874983,0.8774503019838823,1.99229112602038,6.410466384887697,16.38230298360189,10.684110641479492,12,2
30,300.0,300.0,9.983434645037836,0.8575267291769052,1.923516064702061,5.741985066731771,5.383111000061035,5.383111000061035,19,8
40,400.0,400.0,9.855628925734111,0.8686469551178856,2.3890900449909402,4.645368989308676,1.0720082283020025,7.504057598114013,16,6
50,500.0,500.0,10.176620343596916,0.8412480536819156,2.2452709726274245,2.167044639587403,9.39052677154541,2.5282187461853023,10,3
60,600.0,600.0,9.584410915623412,0.8932277771141289,1.9011673816084678,6.018470637003581,9.558747482299806,4.956387583414713,9,6
70,700.0,700.0,9.734575890069959,0.8794488998584578,1.7952762625259437,14.946415519714357,4.626271470387777,1.4234681447347004,9,5
80,800.0,800.0,9.641520536282703,0.887936920830479,2.035741401737277,11.706072235107424,4.256753540039064,18.800661468505858,12,10
90,900.0,900.0,9.933426996973,0.8618437584249116,1.6962099240222075,20.421609783172606,0.7165477116902683,20.421609783172606,8,6
100,1000.0,1000.0,10.023351773798515,0.8541117033814665,1.789706262945456,18.326938247680662,5.390275955200196,11.49925537109375,9,7
110,1100.0,1100.0,9.674872328021367,0.8848759721939956,1.696803669469064,11.719554519653322,1.0654140472412117,11.719554519653322,13,9
120,1200.0,1200.0,9.711730862526416,0.8815176386471251,1.888457529580929,15.645891189575195,17.42383337020874,11.734418392181398,10,4
130,1300.0,1300.0,9.817362776420172,0.8720327701114474,1.8433153789389338,15.702412160237628,7.494333076477051,1.070619010925293,14,4
140,1400.0,1400.0,9.682447631554844,0.8841836674861442,2.114360414914885,19.18245677947998,16.340611330668132,19.537687460581463,9,3
150,1500.0,1500.0,9.426459952860792,0.9081948154367893,1.5709559658216523,7.393514347076416,1.4082884470621757,20.42018248240153,14,7
160,1600.0,1600.0,9.639690643765615,0.88810547697892,2.0261885676633122,18.090057945251463,1.1294161186962768e-15,18.444764963785808,8,3
170,1700.0,1700.0,9.778968154523064,0.8754565841541213,1.659317785362861,3.564071655273439,16.03832244873047,7.840957641601562,8,3
180,1800.0,1800.0,10.1698476172325,0.8418082924471976,1.8920184412281944,0.7221879323323585,20.582356071472166,5.416409492492676,10,7
190,1900.0,1900.0,10.235570985792426,0.8364029782993004,2.212708206772661,9.770494365692139,0.3618701616923021,10.856104850769043,9,7
200,2000.0,2000.0,10.181216010313705,0.8408683253982849,1.9405876851230672,0.7224569320678724,13.365453243255615,7.585797786712646,9,4
210,2100.0,2100.0,9.683721398276676,0.8840673647048776,1.4663363252080404,11.723126506805423,12.078372764587407,20.249036693572997,10,9
220,2200.0,2200.0,10.01733057788494,0.8546250910407986,1.6459787096941743,19.760386784871418,2.8742380777994794,9.700553512573242,7,2
230,2300.0,2300.0,9.46452338203738,0.9045423326185282,1.6829293447494382,17.627267837524414,11.281451416015626,17.9798131942749,10,6
240,2400.0,2400.0,9.825227508068764,0.8713347400943233,2.1044851045232793,3.5696827570597343,3.212714481353761,20.70415999094645,9,6
250,2500.0,2500.0,10.039475124770393,0.8527400039059799,1.9457253801767818,8.269519106547037,6.471797561645508,8.269519106547037,10,7
260,2600.0,2600.0,10.159228471844951,0.8426882101171975,2.105740195846362,19.131316725413004,9.746142482757568,13.35582488377889,12,8
270,2700.0,2700.0,9.795538323053004,0.8739756585876377,1.8897071146160165,18.543634668986,9.628425693511963,12.124684206644696,15,10
280,2800.0,2800.0,9.619903215046095,0.8899322441956264,1.7592136908099312,3.544641494750977,7.44374713897705,0.7089282989501955,11,8
290,2900.0,2900.0,9.861771984384417,0.8681058607587634,2.196298190438922,4.646333948771159,3.5741030375162763,6.4333854675292965,12,6
300,3000.0,3000.0,9.875182444198208,0.8669269763355534,2.0412337621859624,2.5030056635538758,16.090750694274902,18.236184120178223,11,5
310,3100.0,3100.0,10.058628385520567,0.8511162485567489,2.5477267179507583,15.11045799255371,6.116137758890789,8.274774614969889,10,6
320,3200.0,3200.0,9.60216164297229,0.8915765403070917,2.5180711447332156,5.3136916160583505,0.7084922154744476,14.878336524963379,15,8
330,3300.0,3300.0,10.323763858353542,0.8292578341167163,2.2861722499333483,3.266158676147463,4.717784754435223,19.234045537312824,5,2
340,3400.0,3400.0,9.72044862307189,0.8807270517114463,1.7365120141672155,17.784740130106606,9.603759670257569,9.248064867655437,13,13
350,3500.0,3500.0,9.522588054086617,0.8990268200709065,1.8892550008610796,18.01650686264038,3.179383563995362,13.424063936869302,6,2
360,3600.0,3600.0,10.080761634777414,0.849247543714957,1.8150978072248705,14.04142351150513,1.8001825014750177,17.281752014160155,12,6
370,3700.0,3700.0,9.704377192454333,0.8821856248299347,2.0790728993324237,9.953962580362957,5.68797861735026,5.68797861735026,11,6
380,3800.0,3800.0,9.879818642910356,0.8665201626199901,1.8723750009451792,12.159358342488611,1.0728845596313488,17.523781140645344,14,6
390,3900.0,3900.0,10.023261331637773,0.8541194102251187,1.659592654022582,3.2341558456420905,1.078051948547364,11.858571434020996,9,3
400,4000.0,4000.0,10.047631203927345,0.8520477994618678,1.6680219288346698,12.947099304199222,21.218857192993163,19.42064895629883,11,4
410,4100.0,4100.0,9.845361118090125,0.8695528741328109,1.9974081421175243,20.003868611653644,14.64568951924642,4.643755213419596,11,6
420,4200.0,4200.0,9.75584469563961,0.8775316053295799,1.6824366953266374,13.888914871215821,4.985764312744141,11.752158737182619,11,6
430,4300.0,4300.0,9.685112271142604,0.8839404043481159,2.000489398578469,10.302634684244795,14.921057128906254,17.407899983723958,10,3
440,4400.0,4400.0,10.251108274486013,0.8351352680976284,2.119268243441611,12.309807840983074,11.585701497395833,2.8964253743489583,8,6
450,4500.0,4500.0,10.039038411663418,0.8527770993648552,2.0071702054088556,3.235851860046388,16.179259300231934,5.752625528971354,8,5
460,4600.0,4600.0,10.17843963220023,0.8410976894756199,2.134005801837758,3.611956278483074,8.307499440511068,12.28065134684245,8,5
470,4700.0,4700.0,9.579748879830381,0.8936624711672269,1.5634773625481715,9.557197380065919,7.433375740051269,4.955583826700846,12,10
480,4800.0,4800.0,10.042971949120503,0.8524430915950546,1.873656608717505,5.753376770019533,20.136818695068357,16.540958213806153,11,7
490,4900.0,4900.0,9.642671465480381,0.8878309385275935,1.5192887949567015,9.223332977294922,7.449615097045899,9.578076553344728,8,4
500,5000.0,5000.0,9.986509792963563,0.8572626708024427,1.9627505166361965,14.356436411539715,2.5123763720194505,13.997525501251221,15,9
510,5100.0,5100.0,9.584986676096332,0.8931741218233334,1.8503513827482652,20.179982089996336,1.0621043205261238,12.39121707280477,17,9
520,5200.0,5200.0,9.625730438033768,0.8893934971712596,1.7932899471880661,18.081321048736573,13.472356859842938,18.435856755574545,16,11
530,5300.0,5300.0,10.038284845048617,0.8528411167106337,1.7677211094685965,13.662143770853678,1.438120396931967,14.381203969319664,9,4
540,5400.0,5400.0,9.565029259156228,0.8950377280775721,1.5394393714162249,15.212922032674154,10.967455418904624,9.552299880981446,10,6
550,5500.0,5500.0,9.69192297057517,0.8833192425385769,1.8008477730546335,7.462276935577392,5.330197811126709,4.264158248901367,17,11
560,5600.0,5600.0,9.901045119379313,0.8646624627893199,1.873099448397986,9.30498714447022,18.609974288940432,16.46266956329346,5,3
570,5700.0,5700.0,9.891594782749713,0.8654885531745213,1.853707216182311,1.431080881754558,7.870944849650065,5.008783086140951,8,4
580,5800.0,5800.0,9.69458674664588,0.8830765334141383,1.5516300091199524,2.843032582600913,15.636679204305011,9.595234966278076,10,6
590,5900.0,5900.0,9.676610530200985,0.8847170225970516,1.513915435031288,9.944459915161133,7.103185653686523,3.5515928268432617,9,3
600,6000.0,6000.0,9.605677700094477,0.8912501881076533,1.9076236575617076,17.00588836669922,10.628680229187012,9.21152286529541,10,3
610,6100.0,6100.0,9.58488081705972,0.8931839863750027,1.7570372366378215,19.471840858459473,4.956468582153321,15.931506156921387,6,3
620,6200.0,6200.0,9.959319705523438,0.8596030964206048,1.6523028913753564,17.92924404144287,11.833301067352297,14.343395233154299,12,5
630,6300.0,6300.0,10.031698734167183,0.8534010324644603,2.553694297219945,18.332024097442627,0.3594514528910331,19.05092700322469,9,4
