frame_index,time_ps,elapsed_ps,volume_nm3,density_g_ml,void_radius_angstrom,void_x_angstrom,void_y_angstrom,void_z_angstrom,eda_thf_contacts,eda_thf_hydrogen_bonds,eda_eda_hydrogen_bonds,cavity_associated_hydrogen_bonds,cavity_bridging_hydrogen_bonds
0,0.0,0.0,8.015555725944635,0.8764419984150885,2.3215908262998797,15.00971603393555,15.343265279134117,17.01101150512695,23,12,31,1,0
10,100.0,100.0,8.491947382294754,0.8272742826341005,2.128593246376204,13.261188697814944,4.760426712036134,14.961341094970702,14,11,30,1,0
20,200.0,200.0,8.089038320466038,0.868480207477825,2.085306356094069,11.375224177042645,2.6765233357747404,11.040658760070801,12,9,20,0,0
30,300.0,300.0,7.9669173506939694,0.8817927147496369,1.7604333736073376,3.6616053899129244,1.664366086324057,15.312167994181316,12,5,34,0,0
40,400.0,400.0,8.550476188876054,0.8216115130516336,2.592339197981911,9.883486684163413,17.38130416870117,13.291585540771484,11,7,30,1,0
50,500.0,500.0,8.369824493199014,0.8393449210987393,2.553493094937002,3.383926073710125,4.399103895823162,13.197311687469483,12,8,30,2,0
60,600.0,600.0,8.443227631692087,0.8320478832626858,1.7631210204779013,8.823852984110516,5.090684413909913,19.005221811930337,13,6,41,1,0
70,700.0,700.0,8.179893977677802,0.858833830612656,1.9314361149809918,6.716267267862956,13.432534535725914,7.052080631256103,12,4,25,0,0
80,800.0,800.0,7.8945289729878,0.8898782565612199,1.649776597242263,12.94261693954468,0.3318619728088389,16.26123666763306,14,8,28,2,0
90,900.0,900.0,8.101133494580875,0.8671835470374358,1.98662860499688,16.736604372660317,15.7324081103007,1.3389283498128255,12,5,23,3,0
100,1000.0,1000.0,7.9207973401192655,0.8869270828672208,1.8766261308446308,12.624726549784342,8.637970797220866,0.6644592920939129,19,13,31,0,0
110,1100.0,1100.0,8.321524065709255,0.8442167111915522,2.8198424985906936,14.18509769439697,5.741587162017823,13.847357273101807,12,4,34,0,0
120,1200.0,1200.0,8.141659000425888,0.8628670985221729,1.5143071634420655,5.02933979034424,9.388100941975914,15.088019371032715,15,7,17,3,0
130,1300.0,1300.0,7.9238103568452365,0.8865898302053006,1.6372327494202843,4.319532966613771,11.961783599853515,0.33227176666259767,12,9,33,0,0
140,1400.0,1400.0,8.116392467778207,0.8655532253700271,1.8127121622020599,9.043437194824222,15.072395324707031,10.383205668131511,14,9,39,2,0
150,1500.0,1500.0,8.02344204932104,0.8755805345972312,1.7176454316856409,15.014636993408205,16.68292999267578,13.346343994140627,11,5,33,0,0
160,1600.0,1600.0,8.128834122185244,0.8642284457104742,1.7594074149196868,3.3511317571004238,1.0053395271301282,17.09077196121216,11,6,32,3,0
170,1700.0,1700.0,8.379142945954671,0.8384114848220928,1.8945949841286873,6.431844711303712,1.0155544281005866,11.509616851806642,11,5,28,0,0
180,1800.0,1800.0,8.60779758389983,0.816140204318282,2.3228290789634523,11.271802520751955,7.8561047871907554,14.004360707600911,21,12,31,0,0
190,1900.0,1900.0,8.034654563815952,0.8743586451734038,2.1539955947104863,17.692139530181883,12.68493022918701,1.3352558135986328,11,8,23,2,0
200,2000.0,2000.0,8.009539006135551,0.8771003766225406,1.540204566812059,17.00675411224365,17.00675411224365,19.00754871368408,18,12,27,0,0
