pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.05129813619683171
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,0.3590869533778219
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,0.9746645877398029
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,1.8980310392827733
thf_o-thf_o,0.4,0.5,0.45,0.0,0,3.129186308006733
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,4.668130393911688
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,6.514863296997622
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,8.669385017264556
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,11.131695554712477
thf_o-thf_o,0.9,1.0,0.95,0.0,0,13.901794909341389
thf_o-thf_o,1.0,1.1,1.05,0.0,0,16.979683081151315
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,20.365360070142195
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,24.05882587631402
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,28.060080499666967
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,32.369123940200765
thf_o-thf_o,1.5,1.6,1.55,0.0,0,36.98595619791571
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,41.91057727281153
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,47.14298716488833
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,52.68318587414623
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,58.531173400584926
thf_o-thf_o,2.0,2.1,2.05,0.0,0,64.68694974420482
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,71.15051490500566
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,77.92186888298737
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,85.00101167815029
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,92.38794329049345
thf_o-thf_o,2.5,2.6,2.55,0.0,0,100.08266372001869
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,108.08517296672449
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0,0,116.39547103061125
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.007999132387756616,1,125.01355791167914
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.007466061137098046,1,133.93943360992702
thf_o-thf_o,3.0,3.1,3.05,0.04190731414323805,6,143.17309812535743
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.03274082235297766,5,152.71455145796813
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.018454293747834853,3,162.56379360775995
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.09263503714386906,16,172.7208245747321
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.12555569013333753,23,183.18564435888553
thf_o-thf_o,3.5,3.6,3.55,0.11858221884849156,23,193.9582529602209
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.16582239464216658,34,205.03865037873612
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.2864709431134625,62,216.42683661443343
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.3638391066345674,83,228.1228116673107
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.43726938496926193,105,240.12657553736818
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.5823209078353055,147,252.4381282246097
thf_o-thf_o,4.1000000000000005,4.2,4.15,0.7017346094420579,186,265.05746972902864
thf_o-thf_o,4.2,4.3,4.25,0.9424982533287138,262,277.98460005063015
thf_o-thf_o,4.3,4.4,4.35,1.1675041595644444,340,291.2195191894154
thf_o-thf_o,4.4,4.5,4.45,1.2960923789665693,395,304.76222714537573
thf_o-thf_o,4.5,4.6000000000000005,4.550000000000001,1.4594520717223831,465,318.61272391852293
thf_o-thf_o,4.6000000000000005,4.7,4.65,1.5596310530956974,519,332.77100950884613
thf_o-thf_o,4.7,4.800000000000001,4.75,1.6588090001894762,576,347.23708391635614
thf_o-thf_o,4.800000000000001,4.9,4.8500000000000005,1.6132108838478658,584,362.0109471410399
thf_o-thf_o,4.9,5.0,4.95,1.5778617806057644,595,377.0925991829086
thf_o-thf_o,5.0,5.1000000000000005,5.050000000000001,1.3529281491281215,531,392.48204004196134
thf_o-thf_o,5.1000000000000005,5.2,5.15,1.4552429387462638,594,408.17926971818815
thf_o-thf_o,5.2,5.300000000000001,5.25,1.367330229144807,580,424.18428821160444
thf_o-thf_o,5.300000000000001,5.4,5.3500000000000005,1.391609629737315,613,440.4970955221918
thf_o-thf_o,5.4,5.5,5.45,1.478831408952865,676,457.1176916499657
thf_o-thf_o,5.5,5.6000000000000005,5.550000000000001,1.4492262122170187,687,474.0460765949237
thf_o-thf_o,5.6000000000000005,5.7,5.65,1.4167008873089935,696,491.2822503570558
thf_o-thf_o,5.7,5.800000000000001,5.75,1.4346745144815845,730,508.82621293637703
thf_o-thf_o,5.800000000000001,5.9,5.8500000000000005,1.3746540562354348,724,526.677964332869
thf_o-thf_o,5.9,6.0,5.95,1.2462431354925034,679,544.8375045465472
thf_o-thf_o,6.0,6.1000000000000005,6.050000000000001,1.2959235506003879,730,563.3048335774117
thf_o-thf_o,6.1000000000000005,6.2,6.15,1.3039445838003776,759,582.0799514254481
thf_o-thf_o,6.2,6.300000000000001,6.25,1.2642164927051593,760,601.162858090673
thf_o-thf_o,6.300000000000001,6.4,6.3500000000000005,1.1683117368767577,725,620.5535535730721
thf_o-thf_o,6.4,6.5,6.45,1.1870325356952083,760,640.2520378726532
thf_o-thf_o,6.5,6.6000000000000005,6.550000000000001,1.0919968563811795,721,660.2583109894257
thf_o-thf_o,6.6000000000000005,6.7,6.65,1.0858507183088613,739,680.5723729233631
thf_o-thf_o,6.7,6.800000000000001,6.75,1.0667515144095558,748,701.1942236744947
thf_o-thf_o,6.800000000000001,6.9,6.8500000000000005,1.045527005034241,755,722.1238632427996
thf_o-thf_o,6.9,7.0,6.95,1.1017522828045483,819,743.3612916282844
thf_o-thf_o,7.0,7.1000000000000005,7.050000000000001,1.1007881228346001,842,764.9065088309601
thf_o-thf_o,7.1000000000000005,7.2,7.15,1.0702126686827151,842,786.7595148508067
thf_o-thf_o,7.2,7.300000000000001,7.25,1.0211141815919398,826,808.9203096878427
thf_o-thf_o,7.300000000000001,7.4,7.3500000000000005,1.0283995935560788,855,831.3888933420477
thf_o-thf_o,7.4,7.5,7.45,1.0396114610845673,888,854.1652658134418
thf_o-thf_o,7.5,7.6000000000000005,7.550000000000001,1.0156746444889682,891,877.2494271020248
thf_o-thf_o,7.6000000000000005,7.7,7.65,0.9948465867489246,896,900.6413772077693
thf_o-thf_o,7.7,7.800000000000001,7.75,0.9044280140858478,836,924.3411161307165
thf_o-thf_o,7.800000000000001,7.9,7.8500000000000005,0.9289832443942454,881,948.348643870823
thf_o-thf_o,7.9,8.0,7.95,0.8944507408468848,870,972.6639604281233
thf_o-thf_o,8.0,8.1,8.05,0.9385462141201264,936,997.2870658026004
thf_o-thf_o,8.1,8.200000000000001,8.15,0.966525769128074,988,1022.2179599942777
thf_o-thf_o,8.200000000000001,8.3,8.25,0.9718779357600402,1018,1047.456643003106
thf_o-thf_o,8.3,8.4,8.350000000000001,0.9692422935469489,1040,1073.0031148291237
thf_o-thf_o,8.4,8.5,8.45,0.9245967881530455,1016,1098.8573754723284
thf_o-thf_o,8.5,8.6,8.55,0.964427792048919,1085,1125.019424932712
thf_o-thf_o,8.6,8.700000000000001,8.65,0.9934960199373298,1144,1151.4892632102985
thf_o-thf_o,8.700000000000001,8.8,8.75,0.9955299683387852,1173,1178.2668903050246
thf_o-thf_o,8.8,8.9,8.850000000000001,1.0063447788199413,1213,1205.3523062169472
thf_o-thf_o,8.9,9.0,8.95,0.9774929126087303,1205,1232.7455109460584
eda_n-thf_o,0.0,0.1,0.05,0.0,0,0.21181165913530495
eda_n-thf_o,0.1,0.2,0.15000000000000002,0.0,0,1.4826816139471353
eda_n-thf_o,0.2,0.30000000000000004,0.25,0.0,0,4.024421523570798
eda_n-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,7.837031388006291
eda_n-thf_o,0.4,0.5,0.45,0.0,0,12.920511207253613
eda_n-thf_o,0.5,0.6000000000000001,0.55,0.0,0,19.27486098131278
eda_n-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,26.90008071018374
eda_n-thf_o,0.7000000000000001,0.8,0.75,0.0,0,35.796170393866575
eda_n-thf_o,0.8,0.9,0.8500000000000001,0.0,0,45.9631300323612
eda_n-thf_o,0.9,1.0,0.95,0.0,0,57.40095962566764
eda_n-thf_o,1.0,1.1,1.05,0.0,0,70.10965917378607
eda_n-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,84.08922867671619
eda_n-thf_o,1.2000000000000002,1.3,1.25,0.0,0,99.33966813445787
eda_n-thf_o,1.3,1.4000000000000001,1.35,0.0,0,115.86097754701203
eda_n-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,133.65315691437735
eda_n-thf_o,1.5,1.6,1.55,0.0,0,152.71620623655517
eda_n-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,173.05012551354415
eda_n-thf_o,1.7000000000000002,1.8,1.75,0.0,0,194.6549147453454
eda_n-thf_o,1.8,1.9000000000000001,1.85,0.0,0,217.53057393195837
eda_n-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,241.67710307338285
eda_n-thf_o,2.0,2.1,2.05,0.0,0,267.09450216961983
eda_n-thf_o,2.1,2.2,2.1500000000000004,0.0,0,293.78277122066834
eda_n-thf_o,2.2,2.3000000000000003,2.25,0.0,0,321.74191022652843
eda_n-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,350.9719191872011
eda_n-thf_o,2.4000000000000004,2.5,2.45,0.0,0,381.47279810268265
eda_n-thf_o,2.5,2.6,2.55,0.0,0,413.2445469729801
eda_n-thf_o,2.6,2.7,2.6500000000000004,0.013444258450207261,6,446.2871657980885
eda_n-thf_o,2.7,2.8000000000000003,2.75,0.13940888211821,67,480.60065457800744
eda_n-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.4048935839083995,209,516.1850133127394
eda_n-thf_o,2.9000000000000004,3.0,2.95,0.723274672656373,400,553.0402420022795
eda_n-thf_o,3.0,3.1,3.05,0.828869924265346,490,591.1663406466373
eda_n-thf_o,3.1,3.2,3.1500000000000004,0.8230735794329018,519,630.5633092458044
eda_n-thf_o,3.2,3.3000000000000003,3.25,0.6689200903023786,449,671.2311477997829
eda_n-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.5692893444788747,406,713.1698563085716
eda_n-thf_o,3.4000000000000004,3.5,3.45,0.518258405740597,392,756.3794347721725
eda_n-thf_o,3.5,3.6,3.55,0.4732413346640377,379,800.8598831905897
eda_n-thf_o,3.6,3.7,3.6500000000000004,0.4299494258139259,364,846.6112015638146
eda_n-thf_o,3.7,3.8000000000000003,3.75,0.4364205773994158,390,893.6333898918535
eda_n-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.36414732876932937,343,941.9264481747023
eda_n-thf_o,3.9000000000000004,4.0,3.95,0.4205789687126226,417,991.4903764123591
eda_n-thf_o,4.0,4.1000000000000005,4.050000000000001,0.460508881196287,480,1042.3251746048413
eda_n-thf_o,4.1000000000000005,4.2,4.15,0.5244735232027878,574,1094.4308427521187
eda_n-thf_o,4.2,4.3,4.25,0.5906914446702917,678,1147.8073808542151
eda_n-thf_o,4.3,4.4,4.35,0.6112495927315231,735,1202.4547889111336
eda_n-thf_o,4.4,4.5,4.45,0.7811673865555432,983,1258.3730669228419
eda_n-thf_o,4.5,4.6000000000000005,4.550000000000001,0.8224620529185512,1082,1315.5622148893851
eda_n-thf_o,4.6000000000000005,4.7,4.65,0.8813540065671003,1211,1374.0222328107188
eda_n-thf_o,4.7,4.800000000000001,4.75,0.9666936238897165,1386,1433.7531206868903
eda_n-thf_o,4.800000000000001,4.9,4.8500000000000005,0.9847768494721986,1472,1494.7548785178426
eda_n-thf_o,4.9,5.0,4.95,0.9826415999754657,1530,1557.0275063036213
eda_n-thf_o,5.0,5.1000000000000005,5.050000000000001,0.9903916557772726,1605,1620.571004044228
eda_n-thf_o,5.1000000000000005,5.2,5.15,0.9463710951482142,1595,1685.3853717396155
eda_n-thf_o,5.2,5.300000000000001,5.25,0.9306465042926602,1630,1751.470609389851
eda_n-thf_o,5.300000000000001,5.4,5.3500000000000005,0.9594097028017958,1745,1818.8267169948551
eda_n-thf_o,5.4,5.5,5.45,0.9833353821365568,1856,1887.4536945546981
eda_n-thf_o,5.5,5.6000000000000005,5.550000000000001,0.9875589327997683,1933,1957.3515420693623
eda_n-thf_o,5.6000000000000005,5.7,5.65,0.9741090781362224,1976,2028.5202595388091
eda_n-thf_o,5.7,5.800000000000001,5.75,1.015726218225757,2134,2100.9598469631055
eda_n-thf_o,5.800000000000001,5.9,5.8500000000000005,1.0180853601482949,2214,2174.67030434217
eda_n-thf_o,5.9,6.0,5.95,1.0099341462514726,2272,2249.651631676066
eda_n-thf_o,6.0,6.1000000000000005,6.050000000000001,1.0082102152279036,2345,2325.9038289647942
eda_n-thf_o,6.1000000000000005,6.2,6.15,0.9557186880215894,2297,2403.426896208303
eda_n-thf_o,6.2,6.300000000000001,6.25,0.8959718531359426,2224,2482.22083340665
eda_n-thf_o,6.300000000000001,6.4,6.3500000000000005,0.9128568505301383,2339,2562.2856405597813
eda_n-thf_o,6.4,6.5,6.45,0.9040629170400698,2390,2643.621317667729
eda_n-thf_o,6.5,6.6000000000000005,6.550000000000001,0.907847811263068,2475,2726.227864730531
eda_n-thf_o,6.6000000000000005,6.7,6.65,0.8675831527861461,2438,2810.1052817480795
eda_n-thf_o,6.7,6.800000000000001,6.75,0.906656338622552,2625,2895.2535687204936
eda_n-thf_o,6.800000000000001,6.9,6.8500000000000005,0.8857444270401315,2641,2981.6727256476897
eda_n-thf_o,6.9,7.0,6.95,0.9096350692660576,2792,3069.362752529688
eda_n-thf_o,7.0,7.1000000000000005,7.050000000000001,0.9169421254787617,2896,3158.323649366546
eda_n-thf_o,7.1000000000000005,7.2,7.15,0.924410888933343,3003,3248.55541615817
eda_n-thf_o,7.2,7.300000000000001,7.25,0.9562708041024551,3194,3340.058052904639
eda_n-thf_o,7.300000000000001,7.4,7.3500000000000005,0.936253336114457,3214,3432.83155960588
eda_n-thf_o,7.4,7.5,7.45,0.9155411356551251,3229,3526.875936261952
eda_n-thf_o,7.5,7.6000000000000005,7.550000000000001,0.958259745209539,3471,3622.191182872875
eda_n-thf_o,7.6000000000000005,7.7,7.65,0.9293377155232702,3456,3718.7772994385305
eda_n-thf_o,7.7,7.800000000000001,7.75,0.964986352910283,3683,3816.6342859590854
eda_n-thf_o,7.800000000000001,7.9,7.8500000000000005,0.978098224735109,3830,3915.7621424343656
eda_n-thf_o,7.9,8.0,7.95,0.9561369988363244,3840,4016.1608688645124
eda_n-thf_o,8.0,8.1,8.05,0.9339869701913577,3846,4117.830465249447
eda_n-thf_o,8.1,8.200000000000001,8.15,0.9815742354063282,4143,4220.770931589277
eda_n-thf_o,8.200000000000001,8.3,8.25,0.9722583214329572,4205,4324.982267883792
eda_n-thf_o,8.3,8.4,8.350000000000001,0.9676186379620556,4287,4430.464474133157
eda_n-thf_o,8.4,8.5,8.45,0.979454908365497,4444,4537.217550337356
eda_n-thf_o,8.5,8.6,8.55,0.9816497169069348,4560,4645.241496496362
eda_n-thf_o,8.6,8.700000000000001,8.65,1.02155072138538,4857,4754.536312610264
eda_n-thf_o,8.700000000000001,8.8,8.75,1.0073786739375539,4901,4865.101998678808
eda_n-thf_o,8.8,8.9,8.850000000000001,1.0321606231498566,5137,4976.938554702229
eda_n-thf_o,8.9,9.0,8.95,1.041640884998677,5302,5090.045980680506
eda_n-eda_n,0.0,0.1,0.05,0.0,0,0.20519254478732685
eda_n-eda_n,0.1,0.2,0.15000000000000002,0.0,0,1.4363478135112877
eda_n-eda_n,0.2,0.30000000000000004,0.25,0.0,0,3.8986583509592116
eda_n-eda_n,0.30000000000000004,0.4,0.35000000000000003,0.0,0,7.592124157131093
eda_n-eda_n,0.4,0.5,0.45,0.0,0,12.516745232026931
eda_n-eda_n,0.5,0.6000000000000001,0.55,0.0,0,18.67252157564675
eda_n-eda_n,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,26.05945318799049
eda_n-eda_n,0.7000000000000001,0.8,0.75,0.0,0,34.677540069058225
eda_n-eda_n,0.8,0.9,0.8500000000000001,0.0,0,44.52678221884991
eda_n-eda_n,0.9,1.0,0.95,0.0,0,55.607179637365554
eda_n-eda_n,1.0,1.1,1.05,0.0,0,67.91873232460526
eda_n-eda_n,1.1,1.2000000000000002,1.1500000000000001,0.0,0,81.46144028056878
eda_n-eda_n,1.2000000000000002,1.3,1.25,0.0,0,96.23530350525608
eda_n-eda_n,1.3,1.4000000000000001,1.35,0.0,0,112.24032199866787
eda_n-eda_n,1.4000000000000001,1.5,1.4500000000000002,0.0,0,129.47649576080306
eda_n-eda_n,1.5,1.6,1.55,0.0,0,147.94382479166285
eda_n-eda_n,1.6,1.7000000000000002,1.6500000000000001,0.0,0,167.64230909124612
eda_n-eda_n,1.7000000000000002,1.8,1.75,0.0,0,188.57194865955333
eda_n-eda_n,1.8,1.9000000000000001,1.85,0.0,0,210.73274349658493
eda_n-eda_n,1.9000000000000001,2.0,1.9500000000000002,0.0,0,234.1246936023397
eda_n-eda_n,2.0,2.1,2.05,0.0,0,258.7477989768193
eda_n-eda_n,2.1,2.2,2.1500000000000004,0.0,0,284.60205962002266
eda_n-eda_n,2.2,2.3000000000000003,2.25,0.0,0,311.6874755319495
eda_n-eda_n,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,340.00404671260117
eda_n-eda_n,2.4000000000000004,2.5,2.45,0.0,0,369.5517731619738
eda_n-eda_n,2.5,2.6,2.55,0.0,0,400.33065488007475
eda_n-eda_n,2.6,2.7,2.6500000000000004,0.006938972103332784,3,432.34069186689794
eda_n-eda_n,2.7,2.8000000000000003,2.75,0.12242744390159599,57,465.581884122445
eda_n-eda_n,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.8119119373572965,406,500.0542316467166
eda_n-eda_n,2.9000000000000004,3.0,2.95,2.2995468302261983,1232,535.7577344397081
eda_n-eda_n,3.0,3.1,3.05,3.111618075135425,1782,572.6923925014297
eda_n-eda_n,3.1,3.2,3.1500000000000004,3.0760002600622514,1879,610.8582058318725
eda_n-eda_n,3.2,3.3000000000000003,3.25,2.718932612181002,1768,650.2551744310398
eda_n-eda_n,3.3000000000000003,3.4000000000000004,3.3500000000000005,2.114684207299886,1461,690.8832982989284
eda_n-eda_n,3.4000000000000004,3.5,3.45,1.785074377113103,1308,732.7425774355421
eda_n-eda_n,3.5,3.6,3.55,1.3585397681120663,1054,775.8330118408836
eda_n-eda_n,3.6,3.7,3.6500000000000004,1.2668343237736108,1039,820.1546015149445
eda_n-eda_n,3.7,3.8000000000000003,3.75,1.0280610458507324,890,865.7073464577337
eda_n-eda_n,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.985214930314687,899,912.4912466692429
eda_n-eda_n,3.9000000000000004,4.0,3.95,0.9567870590160755,919,960.5063021494727
eda_n-eda_n,4.0,4.1000000000000005,4.050000000000001,0.906162637192695,915,1009.7525128984388
eda_n-eda_n,4.1000000000000005,4.2,4.15,0.9507372127924656,1008,1060.2298789161146
eda_n-eda_n,4.2,4.3,4.25,0.8507665531001558,946,1111.9384002025206
eda_n-eda_n,4.3,4.4,4.35,0.8893634627270326,1036,1164.8780767576616
eda_n-eda_n,4.4,4.5,4.45,1.0491785776571152,1279,1219.048908581503
eda_n-eda_n,4.5,4.6000000000000005,4.550000000000001,1.0867425372771509,1385,1274.4508956740917
eda_n-eda_n,4.6000000000000005,4.7,4.65,1.1614593487889924,1546,1331.0840380353845
eda_n-eda_n,4.7,4.800000000000001,4.75,1.1785895543880958,1637,1388.9483356654246
eda_n-eda_n,4.800000000000001,4.9,4.8500000000000005,1.1919529047608803,1726,1448.0437885641595
