pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.1716352211619939
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,1.201446548133958
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,3.2610692020778833
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,6.350503182993779
thf_o-thf_o,0.4,0.5,0.45,0.0,0,10.469748490881635
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,15.618805125741456
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,21.797673087573223
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,29.006352376376988
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,37.2448429921527
thf_o-thf_o,0.9,1.0,0.95,0.0,0,46.51314493490037
thf_o-thf_o,1.0,1.1,1.05,0.0,0,56.81125820462008
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,68.13918280131168
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,80.49691872497496
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,93.88446597561071
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,108.3018245532181
thf_o-thf_o,1.5,1.6,1.55,0.0,0,123.74899445779782
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,140.2259756893491
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,157.7327682478724
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,176.26937213336788
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,195.83578734583483
thf_o-thf_o,2.0,2.1,2.05,0.0,0,216.4320138852745
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,238.05805175168604
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,260.71390094506876
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,284.3995614654245
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,309.11503331275003
thf_o-thf_o,2.5,2.6,2.55,0.0,0,334.8603164870504
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,361.6354109883215
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0025677875577299883,1,389.44031681656486
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0023907714273653418,1,418.2750339717803
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.0044628954182224225,2,448.13956245396463
thf_o-thf_o,3.0,3.1,3.05,0.006262604767276259,3,479.03390226312564
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.02152818597695088,11,510.9580533992568
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.04964038155544725,27,543.9120158623595
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.08305995797074225,48,577.8957896524331
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.10931469277199317,67,612.9093747694789
thf_o-thf_o,3.5,3.6,3.55,0.16025819537764927,104,648.9527712135
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.2186506117771837,150,686.0259789844895
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.27619388331307637,200,724.1289980824532
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.34457376247193583,263,763.2618285073876
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.44185858551884805,355,803.4244702592907
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.5434416329072552,459,844.6169233381753
