pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.19438377379935057
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,1.3606864165954538
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,3.693291702187661
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,7.19219963057597
thf_o-thf_o,0.4,0.5,0.45,0.0,0,11.85741020176037
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,17.688923415740913
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,24.68673927251752
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,32.85085777209024
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,42.181278914459035
thf_o-thf_o,0.9,1.0,0.95,0.0,0,52.67800269962397
thf_o-thf_o,1.0,1.1,1.05,0.0,0,64.34102912758509
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,77.17035819834224
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,91.16598991189515
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,106.32792426824477
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,122.65616126739005
thf_o-thf_o,1.5,1.6,1.55,0.0,0,140.15070090933193
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,158.81154319406926
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,178.63868812160297
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,199.63213569193317
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,221.79188590505856
thf_o-thf_o,2.0,2.1,2.05,0.0,0,245.11793876098105
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,269.6102942596995
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,295.2689524012136
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,322.09391318552423
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,350.085176612629
thf_o-thf_o,2.5,2.6,2.55,0.0,0,379.24274268253293
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,409.5666113952321
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0,0,441.05678275072677
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0,0,473.71325674901794
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.003940606909505398,2,507.5360333901024
thf_o-thf_o,3.0,3.1,3.05,0.014745861183401715,8,542.5251126739879
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.038017524705375914,22,578.6804946006667
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.0422076428934494,26,616.0021791701423
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.06722790083035597,44,654.4901663824123
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.11236854130160316,78,694.1444562374787
thf_o-thf_o,3.5,3.6,3.55,0.1714367237146967,126,734.9650487353454
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.21751667053808302,169,776.9519438760043
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.28289055660662477,232,820.1051416594618
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.33895378004615895,293,864.4246420857116
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.4868610997477398,443,909.9104451547561
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.498660541924683,477,956.5625508666081
thf_o-thf_o,4.1000000000000005,4.2,4.15,0.6810164945085649,684,1004.3809592212418
thf_o-thf_o,4.2,4.3,4.25,0.8259240115727225,870,1053.365670218678
thf_o-thf_o,4.3,4.4,4.35,1.0384981185717275,1146,1103.5166838589198
thf_o-thf_o,4.4,4.5,4.45,1.2936924266313408,1494,1154.8340001419365
thf_o-thf_o,4.5,4.6000000000000005,4.550000000000001,1.4403831871042898,1739,1207.3176190677718
thf_o-thf_o,4.6000000000000005,4.7,4.65,1.5543619774786828,1960,1260.9675406363833
thf_o-thf_o,4.7,4.800000000000001,4.75,1.561046772938084,2054,1315.7837648478123
thf_o-thf_o,4.800000000000001,4.9,4.8500000000000005,1.462348223698562,2006,1371.7662917020114
thf_o-thf_o,4.9,5.0,4.95,1.4752450783998643,2108,1428.9151211990202
thf_o-thf_o,5.0,5.1000000000000005,5.050000000000001,1.356884716048225,2018,1487.2302533388388
thf_o-thf_o,5.1000000000000005,5.2,5.15,1.332504315980963,2061,1546.711688121425
thf_o-thf_o,5.2,5.300000000000001,5.25,1.3064906122571538,2100,1607.3594255468415
thf_o-thf_o,5.300000000000001,5.4,5.3500000000000005,1.349769839032201,2253,1669.173465615015
thf_o-thf_o,5.4,5.5,5.45,1.3514966100281793,2341,1732.1538083260077
thf_o-thf_o,5.5,5.6000000000000005,5.550000000000001,1.317151590733687,2366,1796.3004536798057
thf_o-thf_o,5.6000000000000005,5.7,5.65,1.313914047781021,2446,1861.6134016763738
thf_o-thf_o,5.7,5.800000000000001,5.75,1.2903944201082571,2488,1928.0926523157705
thf_o-thf_o,5.800000000000001,5.9,5.8500000000000005,1.2291191265064139,2453,1995.7382055979256
thf_o-thf_o,5.9,6.0,5.95,1.2520887956057625,2585,2064.5500615228916
thf_o-thf_o,6.0,6.1000000000000005,6.050000000000001,1.2105719548136162,2584,2134.528220090677
thf_o-thf_o,6.1000000000000005,6.2,6.15,1.0953574483112747,2416,2205.6726813012274
thf_o-thf_o,6.2,6.300000000000001,6.25,1.0917550807008685,2487,2277.9834451545976
thf_o-thf_o,6.300000000000001,6.4,6.3500000000000005,1.047859399633404,2464,2351.4605116507387
thf_o-thf_o,6.4,6.5,6.45,1.0283978438663945,2495,2426.1038807896807
thf_o-thf_o,6.5,6.6000000000000005,6.550000000000001,0.9960376118666183,2492,2501.913552571456
thf_o-thf_o,6.6000000000000005,6.7,6.65,0.9736748991047123,2511,2578.88952699597
thf_o-thf_o,6.7,6.800000000000001,6.75,0.9653629271871768,2565,2657.0318040633288
thf_o-thf_o,6.800000000000001,6.9,6.8500000000000005,0.9801412192373077,2682,2736.3403837734586
thf_o-thf_o,6.9,7.0,6.95,0.9464589432115041,2666,2816.8152661263744
thf_o-thf_o,7.0,7.1000000000000005,7.050000000000001,0.9791418459646962,2838,2898.456451122125
thf_o-thf_o,7.1000000000000005,7.2,7.15,0.9442303861127593,2815,2981.263938760635
thf_o-thf_o,7.2,7.300000000000001,7.25,0.8994408407147243,2757,3065.237729041968
thf_o-thf_o,7.300000000000001,7.4,7.3500000000000005,0.9281426435941625,2924,3150.377821966061
thf_o-thf_o,7.4,7.5,7.45,0.9009219942446519,2916,3236.6842175329766
thf_o-thf_o,7.5,7.6000000000000005,7.550000000000001,0.9066960665202485,3014,3324.1569157427143
thf_o-thf_o,7.6000000000000005,7.7,7.65,0.8942814263106799,3052,3412.7959165951784
thf_o-thf_o,7.7,7.800000000000001,7.75,0.8613598324282059,3017,3502.60122009052
thf_o-thf_o,7.800000000000001,7.9,7.8500000000000005,0.8999400196917833,3234,3593.572826228574
thf_o-thf_o,7.9,8.0,7.95,0.9165125108471959,3378,3685.7107350094775
thf_o-thf_o,8.0,8.1,8.05,0.8854159211934683,3346,3779.014946433158
thf_o-thf_o,8.1,8.200000000000001,8.15,0.9097749393760163,3524,3873.4854604997054
thf_o-thf_o,8.200000000000001,8.3,8.25,0.9485724392062642,3765,3969.1222772089336
thf_o-thf_o,8.3,8.4,8.350000000000001,0.9257425144061007,3764,4065.925396560998
thf_o-thf_o,8.4,8.5,8.45,0.9238946149303116,3847,4163.894818555876
thf_o-thf_o,8.5,8.6,8.55,0.9619917001410552,4101,4263.03054319354
thf_o-thf_o,8.6,8.700000000000001,8.65,0.9522537952106062,4155,4363.332570474088
thf_o-thf_o,8.700000000000001,8.8,8.75,0.9866061439846173,4405,4464.800900397272
thf_o-thf_o,8.8,8.9,8.850000000000001,0.9788862848162101,4471,4567.435532963309
thf_o-thf_o,8.9,9.0,8.95,0.9871048129156793,4611,4671.236468172182
