pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
eda_n-eda_n,0.0,0.1,0.05,0.0,0,0.9359878920729049
eda_n-eda_n,0.1,0.2,0.15000000000000002,0.0,0,6.551915244510332
eda_n-eda_n,0.2,0.30000000000000004,0.25,0.0,0,17.78376994938519
eda_n-eda_n,0.30000000000000004,0.4,0.35000000000000003,0.0,0,34.631552006697476
eda_n-eda_n,0.4,0.5,0.45,0.0,0,57.095261416447165
eda_n-eda_n,0.5,0.6000000000000001,0.55,0.0,0,85.17489817863435
eda_n-eda_n,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,118.87046229325887
eda_n-eda_n,0.7000000000000001,0.8,0.75,0.0,0,158.18195376032094
eda_n-eda_n,0.8,0.9,0.8500000000000001,0.0,0,203.10937257982016
eda_n-eda_n,0.9,1.0,0.95,0.0,0,253.65271875175716
eda_n-eda_n,1.0,1.1,1.05,0.0,0,309.81199227613166
eda_n-eda_n,1.1,1.2000000000000002,1.1500000000000001,0.0,0,371.5871931529435
eda_n-eda_n,1.2000000000000002,1.3,1.25,0.0,0,438.9783213821915
eda_n-eda_n,1.3,1.4000000000000001,1.35,0.0,0,511.9853769638794
eda_n-eda_n,1.4000000000000001,1.5,1.4500000000000002,0.0,0,590.6083598980019
eda_n-eda_n,1.5,1.6,1.55,0.0,0,674.8472701845653
eda_n-eda_n,1.6,1.7000000000000002,1.6500000000000001,0.0,0,764.702107823563
eda_n-eda_n,1.7000000000000002,1.8,1.75,0.0,0,860.1728728149989
eda_n-eda_n,1.8,1.9000000000000001,1.85,0.0,0,961.2595651588742
eda_n-eda_n,1.9000000000000001,2.0,1.9500000000000002,0.0,0,1067.9621848551822
eda_n-eda_n,2.0,2.1,2.05,0.0,0,1180.280731903933
eda_n-eda_n,2.1,2.2,2.1500000000000004,0.0,0,1298.215206305121
eda_n-eda_n,2.2,2.3000000000000003,2.25,0.0,0,1421.765608058742
eda_n-eda_n,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,1550.9319371648066
eda_n-eda_n,2.4000000000000004,2.5,2.45,0.0,0,1685.714193623294
eda_n-eda_n,2.5,2.6,2.55,0.0,0,1826.1123774342373
eda_n-eda_n,2.6,2.7,2.6500000000000004,0.0025353343352512445,5,1972.126488597613
eda_n-eda_n,2.7,2.8000000000000003,2.75,0.07533820282943152,160,2123.7565271134213
eda_n-eda_n,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.5037258852348097,1149,2281.0024929816714
eda_n-eda_n,2.9000000000000004,3.0,2.95,1.3789635869430654,3370,2443.864386202346
eda_n-eda_n,3.0,3.1,3.05,1.8500638957120277,4833,2612.34220677548
eda_n-eda_n,3.1,3.2,3.1500000000000004,1.8837683999678254,5249,2786.435954701041
eda_n-eda_n,3.2,3.3000000000000003,3.25,1.6209588468634892,4808,2966.1456299790384
eda_n-eda_n,3.3000000000000003,3.4000000000000004,3.3500000000000005,1.3114509684347684,4133,3151.4712326094677
eda_n-eda_n,3.4000000000000004,3.5,3.45,1.085443437927208,3628,3342.4127625923343
eda_n-eda_n,3.5,3.6,3.55,0.9327572132176575,3301,3538.9702199276553
eda_n-eda_n,3.6,3.7,3.6500000000000004,0.7759659363031688,2903,3741.143604615399
eda_n-eda_n,3.7,3.8000000000000003,3.75,0.7047473478878343,2783,3948.9329166555935
eda_n-eda_n,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.6635693440684516,2762,4162.338156048211
eda_n-eda_n,3.9000000000000004,4.0,3.95,0.6338215597960997,2777,4381.359322793249
eda_n-eda_n,4.0,4.1000000000000005,4.050000000000001,0.6465484838588434,2978,4605.996416890781
