frame_index,time_ps,elapsed_ps,volume_nm3,density_g_ml,void_radius_angstrom,void_x_angstrom,void_y_angstrom,void_z_angstrom,eda_thf_contacts,eda_thf_hydrogen_bonds,eda_eda_hydrogen_bonds,cavity_associated_hydrogen_bonds,cavity_bridging_hydrogen_bonds
0,0.0,0.0,7.000046820047998,0.9124971362714208,2.137088128672776,0.9564677238464365,2.550580596923829,12.115257835388183,0,0,80,4,0
10,100.0,100.0,7.342958971017631,0.8698840211787868,1.6592760035814063,6.802863311767579,12.63388900756836,11.0141596476237,0,0,63,4,0
20,200.0,200.0,7.572299225044646,0.843538070436196,1.7557430331128272,9.491233762105308,3.6001231511433933,16.36419614156087,0,0,70,2,0
30,300.0,300.0,7.3521760605853945,0.8687934870470275,2.1367750400225063,19.120800081888834,0.9722440719604494,2.592650858561198,0,0,70,2,0
40,400.0,400.0,7.529153962577251,0.8483719032454472,2.04429261952171,12.739784526824952,6.859883975982666,9.799834251403809,0,0,79,0,0
50,500.0,500.0,6.983476375994795,0.9146623161805658,1.4428572196059284,14.335686206817627,2.8671372413635257,4.778562068939209,0,0,87,3,0
60,600.0,600.0,7.217592835179959,0.8849934906172081,1.5222707368984179,16.4266770362854,4.831375598907471,0.9662751197814942,0,0,74,2,0
70,700.0,700.0,7.295729809268926,0.8755152457735725,2.1538732389488446,4.525497881571453,6.788246822357178,16.48574228286743,0,0,76,2,0
80,800.0,800.0,7.045037765978414,0.9066697566769629,1.5259858477188615,8.62661247253418,0.9585124969482431,14.058183288574218,0,0,87,2,0
90,900.0,900.0,7.097522048886922,0.8999651756011656,1.9142010056795897,14.413302898406982,14.093007278442382,4.804434299468994,0,0,92,11,0
100,1000.0,1000.0,7.558867406418704,0.8450370053634783,1.986569955970306,8.831437969207764,6.541805903116862,8.831437969207764,0,0,73,7,0
110,1100.0,1100.0,6.77632796890142,0.9426230115150713,1.5600555995922492,17.97718734741211,9.146288299560547,5.04622802734375,0,0,92,4,0
120,1200.0,1200.0,7.3876107983158406,0.8646263117320463,2.705178254103931,1.2984046936035172,15.256255149841309,9.738035202026367,0,0,85,0,0
130,1300.0,1300.0,7.112797173128678,0.8980324507482066,2.0394601131713594,8.654181289672852,12.500484085083007,7.372080357869467,0,0,73,2,0
140,1400.0,1400.0,7.1958276137237975,0.8876703306340268,1.719089455273824,12.548937034606935,12.548937034606935,12.548937034606935,0,0,93,0,0
150,1500.0,1500.0,7.513301364713918,0.8501619151147785,2.0878190008421615,2.611453755696615,4.896475791931152,0.32643171946207683,0,0,67,4,0
160,1600.0,1600.0,7.331339394036821,0.8712627166401762,1.8844456436378267,9.389472389221192,12.627221488952637,6.799273109436035,0,0,88,3,0
170,1700.0,1700.0,7.105893903964359,0.8989048757815088,2.1079236955351934,1.3145506209901943e-15,7.690116119384767,13.778124713897707,0,0,83,3,0
180,1800.0,1800.0,7.086952476174385,0.9013073953203251,1.8467812715972631,4.802048206329347,17.927646636962887,4.481911659240723,0,0,84,0,0
190,1900.0,1900.0,7.441080781510399,0.8584132956776095,2.2583544005958096,4.880736351013185,16.594503593444824,13.015296936035158,0,0,76,2,0
200,2000.0,2000.0,7.3539243274129555,0.8685869465979039,1.6405267601206657,13.612495803833006,5.833926773071289,5.509819730122884,0,0,65,3,0
210,2100.0,2100.0,7.284620267112311,0.8768504661659919,2.0341584588845603,10.661827754974366,3.553942584991456,7.10788516998291,0,0,81,6,0
220,2200.0,2200.0,7.17130126294606,0.8907062251120085,1.850969500300293,14.463073253631594,2.5712130228678394,14.784474881490073,0,0,74,5,0
230,2300.0,2300.0,7.268357130329921,0.878812441728455,2.445947254764093,13.236648178100586,9.685352325439453,10.33104248046875,0,0,90,2,0
240,2400.0,2400.0,6.986648258589245,0.9142470667829844,1.891440962756094,0.9558570861816416,10.195808919270833,3.1861902872721353,0,0,90,1,0
250,2500.0,2500.0,7.329672436250119,0.8714608643994927,2.263911654213813,5.827506637573243,18.777521387736,6.7987577438354485,0,0,76,0,0
260,2600.0,2600.0,7.350627085414132,0.8689765652422282,2.4056252331729384,17.499164199829103,3.564644559224448,11.342050870259603,0,0,87,1,0
270,2700.0,2700.0,7.61386157697013,0.8389333864934175,2.084798525404562,4.918224334716797,4.918224334716797,6.5576324462890625,0,0,65,1,0
280,2800.0,2800.0,7.49173400970066,0.8526093783880728,2.030881729641016,18.91490624745687,0.9783572196960457,12.718643856048585,0,0,69,1,0
290,2900.0,2900.0,7.000413255592248,0.9124493717505922,1.653990875848555,17.85437571207682,9.246015993754071,15.941406885782877,0,0,88,0,0
300,3000.0,3000.0,7.058395047373044,0.9049539780912288,1.7023127330334533,17.90353393554687,16.305004119873047,9.271472930908203,0,0,83,2,0
310,3100.0,3100.0,7.067568472465578,0.9037793835241505,1.6792248264310745,14.392998218536377,14.073153813680012,7.35642131169637,0,0,90,4,0
320,3200.0,3200.0,7.211512523744967,0.885739663631978,2.0591366480923874,0.9660037040710456,1.2880049387613937,9.016034571329753,0,0,74,1,0
330,3300.0,3300.0,7.351483754287615,0.868875303347336,1.9871662845172533,4.861067771911623,8.101779619852703,9.398064359029135,0,0,82,2,0
340,3400.0,3400.0,7.186177004118646,0.8888624192527896,2.399066788120556,2.8946133613586436,3.5378607749938977,17.046056461334228,0,0,86,2,0
350,3500.0,3500.0,7.37503138309268,0.8661010842208905,1.674334763314708,12.32783946990967,5.190669250488282,18.167342376708984,0,0,72,6,0
360,3600.0,3600.0,6.903356138988497,0.9252778718722724,1.9285421881750284,18.088825321197508,17.77147750854492,16.184738445281983,0,0,82,5,0
370,3700.0,3700.0,7.257655048503738,0.8801083317367828,2.0874194663183356,6.776417446136474,6.4537309010823565,3.2268654505411782,0,0,90,6,0
380,3800.0,3800.0,7.584509913032648,0.8421800156241905,2.4497740338087173,10.806171703338624,13.753309440612792,14.080769189198811,0,0,88,4,0
390,3900.0,3900.0,7.6348483100106215,0.8366273195872803,2.450173268547072,1.9690956115722669,2.2972782135009777,19.034590911865234,0,0,78,9,0
400,4000.0,4000.0,6.926014273330854,0.922250868245436,1.7729814161367712,6.989281908671063,17.790899403889973,15.884731610616047,0,0,85,0,0
410,4100.0,4100.0,7.004853376335986,0.9118710034157447,1.7453264419197951,8.291283798217775,6.377910614013673,12.118030166625976,0,0,84,1,0
420,4200.0,4200.0,7.540688918384148,0.8470741527988149,1.8815032656175135,10.458492024739586,16.66822166442871,15.034082285563152,0,0,74,3,0
430,4300.0,4300.0,7.235548165923259,0.8827973403787871,1.8616695694794936,14.506135940551758,12.249625905354817,6.76953010559082,0,0,82,6,0
440,4400.0,4400.0,7.421539319534553,0.8606735613792129,2.136259688342383,13.979185549418133,4.876460075378418,0.3250973383585612,0,0,74,0,0
450,4500.0,4500.0,7.233917163401005,0.8829963811828595,1.529077250356832,0.9670030593872079,10.637033653259278,0.9670030593872071,0,0,83,1,0
460,4600.0,4600.0,7.132312513274924,0.8955752661105315,1.9600182199763048,18.607450167338055,6.416362126668294,3.528999169667562,0,0,74,2,0
470,4700.0,4700.0,6.83231950706377,0.9348981221466236,1.8650379228752716,4.74383306503296,11.3851993560791,1.2650221506754558,0,0,80,4,0
480,4800.0,4800.0,7.306956217977008,0.8741701040092044,1.989948661517041,3.234155654907228,7.115142440795899,13.906869316101075,0,0,80,9,0
490,4900.0,4900.0,7.222383004138216,0.8844065280669549,1.9505424283783002,1.9329776763916025,7.40974775950114,12.56435489654541,0,0,76,2,0
500,5000.0,5000.0,7.309572268832773,0.8738572439177283,1.9643531270704153,12.291257985432944,18.436886978149413,10.997441355387371,0,0,90,8,0
510,5100.0,5100.0,7.512293895425643,0.8502759298260588,2.0735710950509105,14.688770771026611,12.730268001556396,6.528342564900716,0,0,76,2,0
520,5200.0,5200.0,7.175598338843398,0.8901728295579654,1.5253247693930383,6.42931620279948,11.251303354899092,18.64501698811849,0,0,80,3,0
530,5300.0,5300.0,7.517575879630861,0.8496785106442202,2.0064390698888355,4.2444169680277515,0.9794808387756353,7.509353097279866,0,0,78,3,0
540,5400.0,5400.0,7.361312081607035,0.8677152396540176,1.710548015128852,8.753819561004638,3.242155392964681,7.1327418645222975,0,0,67,1,0
550,5500.0,5500.0,7.319348114516404,0.8726901053375697,1.7568599917508199,14.561923027038574,12.29673500061035,8.737153816223145,0,0,73,2,0
560,5600.0,5600.0,7.0270401589011335,0.9089919130415961,1.4702261182756102,2.873086738586427,18.5154478708903,3.192318598429362,0,0,79,0,0
570,5700.0,5700.0,6.989714418122594,0.9138460164407294,1.5805014580100452,18.482606633504233,4.779984474182129,6.373312632242838,0,0,79,4,0
580,5800.0,5800.0,7.25497634557732,0.880433287829193,2.1015913338401617,18.390869903564454,1.935881042480469,6.77558364868164,0,0,69,1,0
590,5900.0,5900.0,7.0510010081395285,0.9059029589821417,2.0459299252915946,7.031074333190918,7.031074333190918,5.113508605957032,0,0,83,2,0
600,6000.0,6000.0,7.076726641650355,0.9026097799886245,1.4108669047262963,14.079229863484702,16.639089838663736,10.879404894510907,0,0,93,1,0
610,6100.0,6100.0,7.581071225982912,0.842562018830195,2.044567914964264,17.680153656005857,18.33497416178385,8.84007682800293,0,0,72,1,0
620,6200.0,6200.0,7.774648049646207,0.8215835155843915,2.1151092483280802,1.6508679389953624,8.254339694976807,11.55607557296753,0,0,66,2,0
